RFBHX34,UNDH,MAD,BPMS:UNDH:3490,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 34,BPM,,CAVITYX-1,1636.393401,5368.744754,3651.045593,11978.49604,609.0537405,1998.20781,603.047985,1978.503888,,,,"	- NO SECTION -",,,,,,N,.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.0455925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.0455925,BPMS:UNDH%25,BPMS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
BOD10,UNDS,MAD,YAGS:UNDS:3575,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 35,BOD,,YAG,3661.22197,12011.883104,3651.077607,11978.601073,870.8278108,2857.046623,603.079999,1978.608921,,"SIOC-UND1-SX06, SIOC-ALH0-MC00, SIOC-SYS0-EM00, IOC-BSY0-MP01",,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.077607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.077607,YAGS:UNDS%25,YAGS:%25,,,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
PSHXH34,UNDH,MAD,PHAS:UNDH:3495,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 34,USEG,,PS45,1636.520901,5369.163061,3651.173091,11978.914341,609.1812405,1998.626117,603.175485,1978.922195,,,,"	- NO SECTION -",,,,,,N,.0495,,,,,,,,,,,,,,,,,,,,,,.045,2.737835702998,,,,,,3651.173091,,,,,,,,,,,,,,,,,,,,,,.045,2.737835702998,,,,,,3651.173091,PHAS:UNDH%25,PHAS:%25,"Commissioned, Online",04/22/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
QSXH35,UNDS,MAD,QUAD:UNDS:3580,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 35,QUAD,4086,0.433Q3.1,3661.358462,12012.330912,3651.214097,11979.048875,870.9643028,2857.494432,603.216491,1979.056729,,,,"	- NO SECTION -",,,,,,N,.084,,,,,,,,,,-29.999999927592,35.714285628086,,,,,,,,,,,,,,,,,,3651.214097,,,,,,,,,,-29.999999927592,35.714285628086,,,,,,,,,,,,,,,,,,3651.214097,QUAD:UNDS%25,QUAD:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
XCSX35,UNDS,MAD,XCOR:UNDS:3580,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 35,XCOR,4086X,TYPE-U,3661.358462,12012.330912,3651.214097,11979.048875,870.9643028,2857.494432,603.216491,1979.056729,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.214097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.214097,XCOR:UNDS%25,XCOR:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
YCSX35,UNDS,MAD,YCOR:UNDS:3580,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 35,YCOR,4086Y,TYPE-U,3661.358462,12012.330912,3651.214097,11979.048875,870.9643028,2857.494432,603.216491,1979.056729,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.214097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.214097,YCOR:UNDS%25,YCOR:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
VPIO_UNDH_3497,UNDH,NONMAD,VPIO:UNDH:3497,,,,,,,CABLES,A,AD_ACCEL,,,HXR 34,PUMP,,GAMMA 25S-DI-2V-SC-N-N,,,3651.278,11979.25853,,,599.059992,1965.419921,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VPIO_UND_HXR34"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UNDH%25,VPIO:%25,,,
RFBSX35,UNDS,MAD,BPMS:UNDS:3590,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 35,BPM,,CAVITYX-1,3661.488462,12012.757421,3651.344096,11979.475381,871.0943028,2857.920941,603.346491,1979.483238,,,,"	- NO SECTION -",,,,,,N,.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.344096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.344096,BPMS:UNDS%25,BPMS:%25,,,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
VPIO_UND1_2310,UND,NONMAD,VPIO:UND1:2310,,,,,,,CABLES,I,AD_ACCEL,UND S8,UH,,PUMP,002181,GAMMA 20S-DI-2V-VR-N,1636.726853,5369.838757,3651.400922,11979.661818,,,603.399,1979.655512,,"SIOC-UND1-VA11, SIOC-ALH0-VAC00","#NONMAD ELEMENT NAME CHANGED FROM ""VPIO UND1 2310"" ON 09-OCT-2013 10:37:36##NONMAD ELEMENT NAME CHANGED FROM ""VPIO 2310"" ON 13-FEB-2009 13:16:24#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UND1%25,VPIO:%25,,,
VGCC_UNDS_3797,UNDS,NONMAD,VGCC:UNDS:3797,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,MKS 104220008,,,3651.463,11979.865486,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VGCC_UND_SXR35"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGCC:UNDS%25,VGCC:%25,,,
VGPR_UNDS_3797,UNDS,NONMAD,VGPR:UNDS:3797,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,MKS 103170024SH,,,3651.463,11979.865486,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VGPR_UND_SXR35"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGPR:UNDS%25,VGPR:%25,,,
VPIO_UNDS_3597,UNDS,NONMAD,VPIO:UNDS:3597,,,,,,,CABLES,A,AD_ACCEL,,,,PUMP,,GAMMA 25S-DI-2V-SC-N-N,,,3651.463,11979.865486,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VPIO_UND_SXR35"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UNDS%25,VPIO:%25,,,
UMAHXH35,UNDH,MAD,USEG:UNDH:3550,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,USEG,,HGVPU26,1638.446067,5375.479222,3653.098237,11985.230436,611.1064072,2004.942281,605.100651,1985.238356,,,,"	- NO SECTION -",,,,,,N,3.354,,,,,,,,,,,,,,,,,,,,,,.026,2,,,,,,3653.098237,,,,,,,,,,,,,,,,,,,,,,.026,2,,,,,,3653.098237,USEG:UNDH%25,USEG:%25,"Commissioned, Online",04/22/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
XCHU35,UNDH,MAD,EFC:UNDH:3550:X,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,EFC,,TYPE-V,1638.446067,5375.479222,3653.098237,11985.230436,611.1064072,2004.942281,605.100651,1985.238356,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.098237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.098237,EFC:UNDH%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
YCHU35,UNDH,MAD,EFC:UNDH:3550:Y,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,EFC,,TYPE-V,1638.446067,5375.479222,3653.098237,11985.230436,611.1064072,2004.942281,605.100651,1985.238356,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.098237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.098237,EFC:UNDH%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
UMASXH36,UNDS,MAD,USEG:UNDS:3650,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,USEG,,VGHPU56,3663.558462,12019.54876,3653.414073,11986.266644,873.1643028,2864.71228,605.416491,1986.274577,,,,"	- NO SECTION -",,,,,,N,3.36,,,,,,,,,,,,,,,,,,,,,,.056,4.5,,,,,,3653.414073,,,,,,,,,,,,,,,,,,,,,,.056,4.5,,,,,,3653.414073,USEG:UNDS%25,USEG:%25,"Commissioned, Online",04/22/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
XCSU36,UNDS,MAD,EFC:UNDS:3650:X,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,EFC,,TYPE-V,3663.558462,12019.54876,3653.414073,11986.266644,873.1643028,2864.71228,605.416491,1986.274577,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.414073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.414073,EFC:UNDS%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
YCSU36,UNDS,MAD,EFC:UNDS:3650:Y,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,EFC,,TYPE-V,3663.558462,12019.54876,3653.414073,11986.266644,873.1643028,2864.71228,605.416491,1986.274577,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.414073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3653.414073,EFC:UNDS%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
QHXH35,UNDH,MAD,QUAD:UNDH:3580,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,QUAD,000719,0.433Q3.1,1640.276067,5381.483159,3654.928217,11991.234308,612.9364072,2010.946218,606.930651,1991.242293,,,,"	- NO SECTION -",,,,,,N,.084,,,,,,,,,,29.999999927592,-35.714285628086,,,,,,,,,,,,,,,,,,3654.928217,,,,,,,,,,29.999999927592,-35.714285628086,,,,,,,,,,,,,,,,,,3654.928217,QUAD:UNDH%25,QUAD:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
XCHX35,UNDH,MAD,XCOR:UNDH:3580,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,XCOR,000719X,TYPE-U,1640.276067,5381.483159,3654.928217,11991.234308,612.9364072,2010.946218,606.930651,1991.242293,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.928217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.928217,XCOR:UNDH%25,XCOR:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
YCHX35,UNDH,MAD,YCOR:UNDH:3580,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,YCOR,000719Y,TYPE-U,1640.276067,5381.483159,3654.928217,11991.234308,612.9364072,2010.946218,606.930651,1991.242293,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.928217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.928217,YCOR:UNDH%25,YCOR:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
RFBHX35,UNDH,MAD,BPMS:UNDH:3590,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,BPM,,CAVITYX-1,1640.406067,5381.909669,3655.058215,11991.66081,613.0664072,2011.372727,607.060651,1991.668802,,,,"	- NO SECTION -",,,,,,N,.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.058215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.058215,BPMS:UNDH%25,BPMS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
PSHXH35,UNDH,MAD,PHAS:UNDH:3595,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 35,USEG,,PS45,1640.533567,5382.327976,3655.185714,11992.079114,613.1939072,2011.791034,607.188151,1992.08711,,,,"	- NO SECTION -",,,,,,N,.0495,,,,,,,,,,,,,,,,,,,,,,.045,2.737835702998,,,,,,3655.185714,,,,,,,,,,,,,,,,,,,,,,.045,2.737835702998,,,,,,3655.185714,PHAS:UNDH%25,PHAS:%25,"Commissioned, Online",04/22/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
VPIO_UND1_2410,UND,NONMAD,VPIO:UND1:2410,,,,,,,CABLES,I,AD_ACCEL,UND S8,UH,,PUMP,002184,GAMMA 20S-DI-2V-VR-N,1640.596853,5382.535607,3655.270922,11992.358668,,,607.269,1992.352362,,"SIOC-UND1-VA11, SIOC-ALH0-VAC00","#NONMAD ELEMENT NAME CHANGED FROM ""VPIO UND1 2410"" ON 09-OCT-2013 10:37:43##NONMAD ELEMENT NAME CHANGED FROM ""VPIO 2410"" ON 13-FEB-2009 13:17:45##NONMAD ELEMENT NAME CHANGED FROM ""VPIO2410"" ON 15-JAN-","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UND1%25,VPIO:%25,,,
VGCC_UNDH_3597,UNDH,NONMAD,VGCC:UNDH:3597,,,,,,,CABLES,A,AD_ACCEL,,,HXR 35,INST,,MKS 104220008,,,3655.291,11992.424541,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VGCC_UND_HXR35"" ON 14-APR-2023 17:23:32#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGCC:UNDH%25,VGCC:%25,,,
VGPR_UNDH_3597,UNDH,NONMAD,VGPR:UNDH:3597,,,,,,,CABLES,A,AD_ACCEL,,,HXR 35,INST,,MKS 103170024SH,,,3655.291,11992.424541,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VGPR_UND_HXR35"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGPR:UNDH%25,VGPR:%25,,,
VPIO_UNDH_3597,UNDH,NONMAD,VPIO:UNDH:3597,,,,,,,CABLES,A,AD_ACCEL,,,HXR 35,PUMP,,GAMMA 25S-DI-2V-SC-N-N,,,3655.291,11992.424541,,,603.459992,1979.855617,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VPIO_UND_HXR35"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UNDH%25,VPIO:%25,,,
VVMG_UND_HXR35,UNDH,NONMAD,VVMG:UNDH:3598,,,,,,,CABLES,A,AD_ACCEL,,,HXR 35,INST,,48124-CE08-AGH1,,,3655.291,11992.424541,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVMG:UNDH%25,VVMG:%25,,,
PSSXH36,UNDS,MAD,PHAS:UNDS:3670,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,USEG,,PS97.5,3665.452466,12025.762684,3655.308057,11992.480502,875.0583068,2870.926203,607.310495,1992.488501,,,,"	- NO SECTION -",,,,,,N,.1073,,,,,,,,,,,,,,,,,,,,,,.0975,3.564917996186,,,,,,3655.308057,,,,,,,,,,,,,,,,,,,,,,.0975,3.564917996186,,,,,,3655.308057,PHAS:UNDS%25,PHAS:%25,"Commissioned, Online",04/22/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
QSXH36,UNDS,MAD,QUAD:UNDS:3680,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,QUAD,4064,0.433Q3.1,3665.758462,12026.766608,3655.614049,11993.484413,875.3643028,2871.930127,607.616491,1993.492425,,,,"	- NO SECTION -",,,,,,N,.084,,,,,,,,,,29.999999927592,-35.714285628086,,,,,,,,,,,,,,,,,,3655.614049,,,,,,,,,,29.999999927592,-35.714285628086,,,,,,,,,,,,,,,,,,3655.614049,QUAD:UNDS%25,QUAD:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
XCSX36,UNDS,MAD,XCOR:UNDS:3680,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,XCOR,4064X,TYPE-U,3665.758462,12026.766608,3655.614049,11993.484413,875.3643028,2871.930127,607.616491,1993.492425,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.614049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.614049,XCOR:UNDS%25,XCOR:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
YCSX36,UNDS,MAD,YCOR:UNDS:3680,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,YCOR,4064Y,TYPE-U,3665.758462,12026.766608,3655.614049,11993.484413,875.3643028,2871.930127,607.616491,1993.492425,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.614049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.614049,YCOR:UNDS%25,YCOR:%25,"Commissioned, Online",05/04/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
RFBSX36,UNDS,MAD,BPMS:UNDS:3690,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 36,BPM,,CAVITYX-1,3665.888462,12027.193117,3655.744048,11993.910919,875.4943028,2872.356636,607.746491,1993.918934,,,,"	- NO SECTION -",,,,,,N,.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.744048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.744048,BPMS:UNDS%25,BPMS:%25,,,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
VPIO_UNDS_3697,UNDS,NONMAD,VPIO:UNDS:3697,,,,,,,CABLES,A,AD_ACCEL,,,,PUMP,,GAMMA 25S-DI-2V-SC-N-N,,,3655.863,11994.301181,,,607.859992,1994.291312,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VPIO_UND_SXR36"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:UNDS%25,VPIO:%25,,,
UMAHXH36,UNDH,MAD,USEG:UNDH:3650,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,USEG,,HGVPU26,1642.458734,5388.64414,3657.110859,11998.395207,615.1190738,2018.107198,609.113318,1998.403274,,,,"	- NO SECTION -",,,,,,N,3.354,,,,,,,,,,,,,,,,,,,,,,.026,2,,,,,,3657.110859,,,,,,,,,,,,,,,,,,,,,,.026,2,,,,,,3657.110859,USEG:UNDH%25,USEG:%25,"Commissioned, Online",04/22/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
XCHU36,UNDH,MAD,EFC:UNDH:3650:X,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,EFC,,TYPE-V,1642.458734,5388.64414,3657.110859,11998.395207,615.1190738,2018.107198,609.113318,1998.403274,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.110859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.110859,EFC:UNDH%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
YCHU36,UNDH,MAD,EFC:UNDH:3650:Y,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,EFC,,TYPE-V,1642.458734,5388.64414,3657.110859,11998.395207,615.1190738,2018.107198,609.113318,1998.403274,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.110859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.110859,EFC:UNDH%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
UMASXH37,UNDS,MAD,USEG:UNDS:3750,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 37,USEG,,VGHPU56,3667.958462,12033.984455,3657.814025,12000.702182,877.5643028,2879.147975,609.816491,2000.710272,,,,"	- NO SECTION -",,,,,,N,3.36,,,,,,,,,,,,,,,,,,,,,,.056,4.5,,,,,,3657.814025,,,,,,,,,,,,,,,,,,,,,,.056,4.5,,,,,,3657.814025,USEG:UNDS%25,USEG:%25,"Commissioned, Online",04/22/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
XCSU37,UNDS,MAD,EFC:UNDS:3750:X,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 37,EFC,,TYPE-V,3667.958462,12033.984455,3657.814025,12000.702182,877.5643028,2879.147975,609.816491,2000.710272,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.814025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.814025,EFC:UNDS%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
YCSU37,UNDS,MAD,EFC:UNDS:3750:Y,UNDS,,,,308,76,SYMBOLS,A,AD_ACCEL,U03S,,SXR 37,EFC,,TYPE-V,3667.958462,12033.984455,3657.814025,12000.702182,877.5643028,2879.147975,609.816491,2000.710272,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.814025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.814025,EFC:UNDS%25,EFC:%25,"Commissioned, Online",06/19/2020,"CU_SXR, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
QHXH36,UNDH,MAD,QUAD:UNDH:3680,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,QUAD,4095,0.433Q3.1,1644.288734,5394.648077,3658.94084,12004.399081,616.9490738,2024.111135,610.943318,2004.407211,,,,"	- NO SECTION -",,,,,,N,.084,,,,,,,,,,-29.999999927592,35.714285628086,,,,,,,,,,,,,,,,,,3658.94084,,,,,,,,,,-29.999999927592,35.714285628086,,,,,,,,,,,,,,,,,,3658.94084,QUAD:UNDH%25,QUAD:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
XCHX36,UNDH,MAD,XCOR:UNDH:3680,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,XCOR,4095X,TYPE-U,1644.288734,5394.648077,3658.94084,12004.399081,616.9490738,2024.111135,610.943318,2004.407211,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658.94084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658.94084,XCOR:UNDH%25,XCOR:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
YCHX36,UNDH,MAD,YCOR:UNDH:3680,UNDH,,,,308,76,SYMBOLS,A,AD_ACCEL,U03H,,HXR 36,YCOR,4095Y,TYPE-U,1644.288734,5394.648077,3658.94084,12004.399081,616.9490738,2024.111135,610.943318,2004.407211,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658.94084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3658.94084,YCOR:UNDH%25,YCOR:%25,"Commissioned, Online",05/04/2020,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, SC_HXR, SC_HXR2, "
